amount,hour_of_day,transaction_type,is_foreign_country,account_age_days,num_transactions_today,distance_from_home_km,is_fraud
30.89,22,withdrawal,0,3156,4,3.12,0
331.24,10,purchase,0,1197,3,7.06,0
18.17,21,purchase,0,1671,1,4.21,0
59.45,7,online,0,1241,1,3.17,0
100.47,21,transfer,0,2754,2,9.87,0
100.89,15,purchase,0,180,3,7.69,0
130.52,21,purchase,0,2203,4,29.47,0
22.87,14,purchase,0,609,3,7.58,0
117.15,15,purchase,0,721,2,5.7,0
105.79,10,transfer,0,3112,1,4.16,0
112.71,9,withdrawal,0,831,1,7.18,0
16.81,11,withdrawal,1,1909,3,16.18,0
40.59,14,purchase,0,3229,0,8.88,0
12.76,14,transfer,0,2301,2,19.42,0
178.47,20,purchase,0,3478,0,3.22,0
111.89,17,purchase,0,3239,1,0.54,0
243.7,18,purchase,0,2204,2,0.25,0
32.51,18,withdrawal,0,1279,0,5.1,0
76.64,14,online,1,1569,4,18.53,0
42.14,21,withdrawal,0,2116,2,27.64,0
24.9,10,online,0,1906,6,3.84,0
89.72,17,purchase,0,2725,2,7.23,0
122.21,21,transfer,0,2476,2,13.35,0
84.12,15,purchase,0,3204,2,1.07,0
382.34,14,transfer,0,1964,0,63.47,0
63.14,12,withdrawal,0,1352,4,1.02,0
163.23,14,purchase,0,1244,4,5.32,0
20.61,12,purchase,0,3259,1,6.31,0
19.07,19,purchase,0,2990,1,9.96,0
139.73,20,purchase,0,1847,1,14.84,0
78.53,8,transfer,0,2719,2,27.16,0
42.03,17,purchase,0,2224,1,31.5,0
42.52,22,withdrawal,0,235,2,7.27,0
164.24,9,online,0,3551,1,9.35,0
71.54,18,purchase,0,388,2,6.9,0
32.61,7,purchase,0,2372,2,25.91,0
15.69,6,purchase,0,3547,2,1.06,0
58.62,13,transfer,0,444,0,3.98,0
52.22,22,withdrawal,0,1784,2,16.95,0
76.13,22,withdrawal,0,1969,0,7.31,0
165.35,19,transfer,0,1073,6,21.18,0
33.58,18,transfer,1,2355,2,5.4,0
34.88,11,purchase,0,2574,2,7.66,0
201.76,17,withdrawal,0,1154,3,39.81,0
91.08,16,purchase,0,3462,4,20.83,0
37.5,22,withdrawal,0,2737,2,5.6,0
75.38,9,purchase,0,1318,4,13.15,0
32.66,6,purchase,0,2616,3,8.75,0
29.29,21,transfer,0,2358,2,20.86,0
84.86,21,withdrawal,0,1710,4,49.83,0
80.85,20,purchase,1,485,3,8.3,0
93.65,16,withdrawal,0,2577,1,43.74,0
146.12,17,online,0,2084,0,2.12,0
39.07,17,purchase,0,958,1,1.75,0
70.93,16,purchase,0,951,1,0.28,0
145.53,8,purchase,0,3043,4,15.37,0
40.6,14,transfer,0,2999,2,2.45,0
131.51,6,purchase,0,3247,2,14.68,0
111.75,22,purchase,0,3306,1,0.21,0
162.75,19,withdrawal,0,3275,0,6.84,0
74.32,18,purchase,0,2423,3,26.46,0
30.08,14,withdrawal,0,1310,1,27.62,0
67.21,19,purchase,0,300,2,1.64,0
61.3,11,purchase,0,1454,1,14.18,0
153.99,10,purchase,0,3122,1,26.33,0
99.28,18,purchase,0,1428,3,5.21,0
929.32,17,online,0,122,13,266.82,1
45.87,11,withdrawal,0,2307,4,2.99,0
101.69,18,withdrawal,0,3210,1,12.07,0
134.26,19,online,0,555,2,14.09,0
96.18,9,purchase,0,1735,2,1.77,0
201.91,8,withdrawal,1,1854,1,5.54,0
44.49,18,online,0,1513,5,55.04,0
111.65,16,withdrawal,0,691,0,6.38,0
103.48,14,withdrawal,0,834,1,4.71,0
22.39,21,purchase,0,1691,4,3.93,0
12.63,11,online,0,2249,2,11.21,0
15.71,16,purchase,0,1070,2,25.45,0
64.53,18,withdrawal,0,3321,2,2.41,0
177.83,6,withdrawal,0,2729,2,2.25,0
54.34,15,transfer,0,708,0,12.64,0
7.78,16,withdrawal,0,355,2,3.99,0
132.1,12,transfer,0,1438,1,12.59,0
56.85,7,purchase,0,1412,4,8.77,0
7.84,9,withdrawal,0,652,2,4.26,0
96.07,21,purchase,0,173,1,27.95,0
138.42,19,withdrawal,0,3220,3,22.82,0
155.13,12,withdrawal,0,220,2,3.56,0
42.82,13,purchase,0,2200,3,2.82,0
85.42,22,transfer,0,3260,3,9.53,0
77.83,18,online,0,1076,0,66.6,0
74.16,19,purchase,0,3216,1,17.68,0
11.9,14,purchase,0,3640,3,9.51,0
60.15,10,purchase,0,1329,2,13.34,0
165.15,6,purchase,0,2869,1,34.4,0
123.74,17,withdrawal,0,886,2,29.73,0
96.6,7,transfer,0,1307,2,12.26,0
53.25,13,online,0,1880,2,3.86,0
52.78,12,purchase,0,635,2,5.17,0
150.27,12,purchase,0,2643,2,0.15,0
21.81,16,purchase,0,2879,5,10.43,0
158.32,21,withdrawal,0,3468,2,8.88,0
14.13,7,purchase,0,340,2,12.98,0
82.39,7,transfer,0,3057,2,13.4,0
33.61,22,purchase,0,3102,1,16.87,0
59.49,20,purchase,0,138,3,30.19,0
304.85,22,online,1,2296,1,0.66,0
111.92,20,purchase,0,461,2,8.89,0
46.81,11,purchase,0,2166,0,14.83,0
24.26,21,online,0,3534,0,0.51,0
29.34,6,online,0,3382,3,7.49,0
145.86,10,purchase,0,2976,4,8.4,0
26.31,6,transfer,0,2047,3,3.17,0
69.98,16,purchase,0,1985,3,11.39,0
110.23,14,purchase,0,1548,7,20.4,0
67.2,22,purchase,0,3328,0,4.26,0
43.48,20,online,0,1435,2,8.61,0
172.07,13,withdrawal,0,2596,0,1.04,0
65.77,17,purchase,0,3029,0,12.76,0
43.41,21,purchase,0,2320,1,6.98,0
112.65,20,online,0,2920,1,14.39,0
79.4,14,withdrawal,0,2817,0,2.2,0
18.88,19,purchase,0,782,5,2.47,0
145.98,20,transfer,0,3095,2,3.28,0
18.86,20,purchase,0,1672,5,1.37,0
52.55,10,purchase,0,905,2,26.71,0
85.51,10,transfer,0,622,3,16.48,0
51.24,9,withdrawal,0,764,1,39.01,0
77.36,12,transfer,0,840,5,6.4,0
15.45,21,withdrawal,0,388,3,64.0,0
887.27,1,purchase,0,38,5,383.45,1
23.13,10,withdrawal,0,2642,2,13.68,0
22.36,20,transfer,0,2153,2,38.83,0
20.45,8,online,0,2128,2,50.42,0
22.81,9,online,0,733,1,11.52,0
42.18,21,withdrawal,1,1959,2,25.25,0
89.65,16,withdrawal,0,2441,0,62.27,0
177.08,17,purchase,0,3515,3,1.26,0
15.17,15,transfer,0,2211,3,8.02,0
35.35,21,purchase,0,3261,1,49.21,0
10.9,8,transfer,0,790,4,21.23,0
139.82,16,withdrawal,0,2503,1,23.56,0
105.09,6,purchase,0,3049,2,11.58,0
120.68,11,purchase,0,1448,1,6.0,0
63.47,21,withdrawal,0,1758,3,4.9,0
63.24,22,purchase,0,272,1,13.24,0
49.46,13,purchase,0,2552,0,9.28,0
81.41,10,withdrawal,0,1457,1,19.11,0
26.34,16,withdrawal,0,1929,5,16.03,0
14.47,6,transfer,0,2659,2,18.05,0
125.28,11,transfer,0,954,1,12.07,0
86.4,17,online,0,1536,3,39.88,0
70.33,10,purchase,0,2962,2,1.93,0
129.58,13,purchase,0,893,3,45.06,0
97.33,16,purchase,0,1009,2,34.09,0
245.8,18,withdrawal,0,1769,1,1.0,0
34.95,9,withdrawal,0,1621,3,16.28,0
64.35,8,transfer,0,1102,2,4.59,0
30.59,9,transfer,0,2295,2,17.78,0
82.51,17,purchase,0,3465,1,26.45,0
158.59,8,transfer,0,3284,3,1.88,0
114.34,18,purchase,0,892,1,46.06,0
59.65,19,withdrawal,0,1015,6,9.45,0
122.42,7,purchase,0,3632,2,3.59,0
83.08,18,purchase,0,1672,4,41.29,0
143.12,8,withdrawal,0,2525,1,14.59,0
31.85,12,purchase,0,62,0,2.02,0
45.78,6,online,0,2203,5,21.0,0
60.31,17,purchase,0,2379,1,1.36,0
27.14,18,purchase,0,2403,2,16.83,0
206.02,7,purchase,0,1270,3,8.04,0
32.44,8,purchase,0,2301,1,3.98,0
212.04,13,purchase,0,2262,2,25.3,0
29.99,11,purchase,0,2397,0,11.3,0
113.02,21,purchase,0,3430,5,23.28,0
40.98,21,online,0,879,2,5.59,0
50.43,20,withdrawal,0,800,3,7.17,0
60.12,17,purchase,0,125,0,28.59,0
35.48,17,purchase,0,2465,0,22.97,0
214.03,12,online,0,2491,2,1.97,0
52.41,18,transfer,0,2391,3,2.7,0
122.71,9,online,0,474,2,10.48,0
122.42,8,withdrawal,0,48,1,28.91,0
201.99,15,online,0,2074,4,2.39,0
12.66,15,purchase,0,318,6,5.98,0
15.05,9,purchase,0,3220,2,5.92,0
44.98,18,transfer,0,135,2,11.1,0
76.95,22,online,0,531,1,18.31,0
8.02,16,purchase,0,3444,0,11.95,0
20.29,16,purchase,1,1743,2,2.44,0
16.42,6,purchase,0,2783,2,12.47,0
17.75,6,purchase,0,3524,2,4.74,0
37.61,7,purchase,0,3018,2,7.64,0
454.37,16,online,1,351,4,149.4,1
74.83,14,withdrawal,0,2999,1,1.63,0
44.9,17,withdrawal,0,2944,3,5.01,0
61.52,15,purchase,0,2229,1,4.08,0
135.74,15,purchase,0,2276,1,36.46,0
660.74,4,purchase,1,294,5,658.29,1
52.4,6,purchase,1,1162,2,40.23,0
38.43,9,purchase,0,329,1,4.02,0
11.8,16,purchase,0,3262,0,33.73,0
38.07,6,purchase,0,1347,2,5.99,0
134.16,16,purchase,0,1183,3,0.2,0
40.58,15,purchase,0,2363,0,0.68,0
50.51,15,online,0,2293,0,2.91,0
102.75,6,purchase,0,1233,2,1.53,0
24.88,6,purchase,0,1951,2,4.28,0
187.89,18,purchase,0,670,3,32.97,0
125.72,16,transfer,0,1319,4,12.87,0
27.53,21,purchase,0,2122,1,25.28,0
185.52,14,online,0,1119,4,3.16,0
59.04,9,withdrawal,0,3493,3,1.05,0
79.8,9,transfer,0,3395,1,16.64,0
12.79,18,transfer,0,369,6,17.66,0
91.46,12,withdrawal,0,2191,3,12.96,0
39.18,9,purchase,0,1637,2,5.05,0
1071.45,14,purchase,1,155,7,28.12,1
40.53,16,withdrawal,0,2503,5,8.08,0
28.41,6,purchase,0,282,3,22.54,0
68.17,18,withdrawal,1,2578,4,19.52,0
168.59,15,purchase,0,2268,1,25.86,0
33.21,17,purchase,0,2023,0,13.17,0
26.93,15,withdrawal,0,3068,3,13.98,0
43.98,13,purchase,0,293,3,5.57,0
28.41,18,withdrawal,0,1893,2,3.86,0
159.21,10,online,0,3067,4,5.04,0
57.95,21,withdrawal,0,156,0,26.34,0
175.76,19,online,0,2247,4,0.18,0
127.38,16,purchase,0,2220,1,42.26,0
75.99,7,withdrawal,0,1993,3,3.03,0
28.87,13,purchase,0,2663,2,10.3,0
1051.38,9,purchase,1,320,9,68.34,1
316.65,7,purchase,0,1287,0,2.56,0
50.2,17,purchase,0,3409,1,28.52,0
134.63,10,transfer,0,2310,1,13.51,0
39.23,22,online,0,2970,4,15.34,0
53.44,15,transfer,0,2573,2,4.76,0
135.64,12,purchase,0,2315,3,5.88,0
50.89,12,purchase,0,168,2,3.4,0
47.64,22,withdrawal,0,2512,2,0.97,0
10.21,13,purchase,0,3093,2,3.76,0
56.33,18,online,0,3632,4,0.3,0
160.23,10,purchase,0,1198,5,3.31,0
80.54,9,purchase,0,1461,0,8.55,0
49.99,19,purchase,0,1226,4,14.34,0
71.72,15,withdrawal,1,2520,2,2.16,0
23.63,22,transfer,0,948,3,36.33,0
32.24,6,purchase,0,1864,1,30.39,0
52.34,19,purchase,0,2153,3,19.67,0
68.12,8,purchase,0,2535,2,19.86,0
45.88,19,transfer,0,139,1,30.99,0
47.96,13,purchase,0,2171,3,12.28,0
130.69,12,purchase,0,306,1,7.09,0
190.39,14,withdrawal,0,1899,3,19.24,0
169.33,9,withdrawal,0,1171,3,5.22,0
61.03,17,purchase,0,1574,1,14.55,0
72.78,11,purchase,0,2722,4,4.79,0
129.85,7,withdrawal,0,1744,2,12.77,0
750.37,0,withdrawal,1,199,5,3.22,1
84.39,22,online,0,613,4,2.57,0
17.96,13,transfer,0,2361,3,8.3,0
1075.76,12,transfer,1,135,5,760.5,1
97.45,22,online,0,1250,2,10.36,0
19.52,17,transfer,0,527,6,12.02,0
12.17,9,online,0,694,0,24.84,0
108.02,11,online,0,2455,4,41.12,0
98.88,21,purchase,0,3257,0,29.06,0
145.09,20,purchase,0,2039,2,16.6,0
64.27,22,online,0,2176,1,26.2,0
111.55,7,purchase,0,2947,1,29.63,0
28.7,12,purchase,0,135,3,9.36,0
54.28,9,withdrawal,0,1073,1,0.31,0
32.38,21,purchase,0,2482,1,11.53,0
159.86,8,withdrawal,0,3328,2,33.6,0
19.68,9,purchase,0,2359,1,24.69,0
19.19,22,withdrawal,0,1892,3,3.01,0
18.99,6,purchase,0,3143,3,12.1,0
73.63,17,purchase,0,2002,3,22.8,0
82.13,14,transfer,0,2473,3,0.45,0
52.44,13,purchase,0,2447,2,5.85,0
147.18,10,purchase,0,693,0,6.6,0
40.72,13,purchase,0,1448,3,2.44,0
99.95,16,purchase,0,2918,3,6.84,0
40.59,13,withdrawal,0,2116,2,27.85,0
57.74,13,transfer,0,1763,2,0.23,0
44.47,20,withdrawal,0,2990,3,2.32,0
39.38,12,online,0,827,2,2.77,0
72.15,7,purchase,0,3028,0,10.51,0
75.33,18,withdrawal,0,2390,1,13.55,0
37.04,17,online,0,1819,2,11.08,0
37.18,19,transfer,0,3464,1,0.83,0
28.85,18,withdrawal,0,1089,0,0.66,0
39.86,21,online,0,262,0,1.17,0
38.31,14,transfer,0,3444,2,5.39,0
62.14,10,withdrawal,0,469,1,0.6,0
40.56,17,purchase,0,1090,2,2.84,0
96.26,7,online,0,2132,0,23.17,0
54.03,10,purchase,0,3218,0,50.97,0
49.74,8,transfer,0,170,3,13.86,0
40.53,14,purchase,0,2770,4,13.06,0
149.45,18,purchase,0,3404,4,7.75,0
111.45,19,withdrawal,0,1288,1,31.92,0
100.19,19,purchase,0,740,4,9.73,0
18.29,17,withdrawal,0,3619,2,16.22,0
25.48,21,withdrawal,0,2434,4,5.78,0
194.06,8,withdrawal,1,1175,2,15.13,0
44.41,13,online,0,1957,1,10.74,0
56.83,22,purchase,0,1104,1,13.82,0
117.34,11,online,0,186,1,9.21,0
26.64,13,purchase,0,3528,1,20.01,0
206.66,12,purchase,1,3049,2,5.73,0
57.63,8,purchase,0,2326,2,8.25,0
74.82,7,purchase,0,1835,1,30.37,0
52.62,19,withdrawal,0,2550,2,2.89,0
109.47,20,withdrawal,0,2079,3,13.41,0
13.71,15,transfer,0,2528,1,0.36,0
201.71,18,online,0,801,0,25.37,0
111.55,11,transfer,0,2449,4,25.25,0
109.46,16,purchase,0,2006,1,1.42,0
115.21,9,withdrawal,0,3154,3,8.69,0
495.67,22,purchase,1,132,3,27.76,1
88.49,8,withdrawal,0,2122,2,9.55,0
4.87,9,purchase,0,1713,3,61.79,0
63.28,14,purchase,0,1952,2,0.29,0
68.31,11,transfer,0,3395,2,13.79,0
44.25,19,purchase,0,2397,0,5.86,0
199.69,19,purchase,0,1955,1,29.34,0
80.56,21,online,0,3628,1,11.12,0
94.35,10,withdrawal,0,1516,2,1.71,0
150.12,17,transfer,0,3098,4,3.13,0
89.38,16,purchase,0,3065,3,6.01,0
103.8,15,purchase,0,1818,4,59.2,0
52.08,16,withdrawal,0,423,1,10.11,0
61.9,15,purchase,0,865,3,14.04,0
10.57,7,withdrawal,0,350,2,1.01,0
82.75,18,purchase,0,2570,2,6.72,0
47.11,6,transfer,0,2292,2,20.65,0
54.3,21,withdrawal,0,138,2,2.1,0
37.6,6,purchase,0,61,2,21.91,0
0.7,18,purchase,0,570,5,4.29,0
104.72,14,withdrawal,0,2784,0,9.96,0
152.39,16,transfer,0,2154,1,16.31,0
62.02,6,transfer,0,818,1,2.67,0
129.08,20,purchase,0,2017,1,3.55,0
64.84,15,transfer,0,486,1,9.24,0
37.53,18,purchase,0,2346,1,4.72,0
580.13,6,withdrawal,0,85,4,176.9,1
20.62,17,purchase,1,45,1,9.39,0
100.82,16,withdrawal,0,3391,1,6.46,0
36.56,14,purchase,0,2650,4,19.2,0
91.2,21,online,0,2974,2,8.77,0
17.83,11,transfer,0,2030,1,4.08,0
111.09,10,transfer,0,1809,3,32.87,0
16.0,15,online,0,2893,2,22.78,0
19.61,11,purchase,0,2432,2,2.11,0
26.29,21,purchase,0,482,0,26.11,0
160.75,16,online,0,1116,1,20.33,0
17.4,7,withdrawal,0,1750,2,3.7,0
136.4,19,withdrawal,0,2094,1,9.95,0
57.31,18,purchase,0,3306,1,6.15,0
189.03,22,purchase,0,2793,2,7.16,0
191.72,15,purchase,0,1211,3,19.93,0
45.22,21,withdrawal,0,398,1,0.17,0
120.59,14,transfer,0,3259,0,2.04,0
53.81,6,withdrawal,1,1719,2,1.02,0
47.47,7,online,0,3079,2,2.89,0
23.9,10,transfer,0,1249,0,18.23,0
58.36,12,transfer,0,2421,1,11.71,0
102.24,20,purchase,0,2288,5,62.02,0
72.5,16,purchase,0,2067,6,2.98,0
90.98,14,transfer,0,631,1,78.71,0
23.91,11,online,0,1888,2,16.39,0
40.54,19,purchase,0,157,4,47.21,0
98.76,21,transfer,0,3018,1,15.24,0
190.31,19,online,0,66,3,0.32,0
151.2,18,purchase,0,837,2,2.0,0
63.56,16,online,0,1216,2,56.41,0
121.89,17,withdrawal,0,1327,1,27.8,0
29.48,22,transfer,0,833,1,19.22,0
78.52,11,purchase,1,1564,1,14.83,0
117.71,12,purchase,0,2093,5,9.9,0
37.64,8,purchase,0,2129,0,6.87,0
59.68,19,online,0,1166,4,15.74,0
74.89,10,purchase,0,1909,3,8.89,0
16.05,13,transfer,0,2699,1,5.57,0
55.3,15,withdrawal,0,3509,1,0.79,0
8.74,20,online,0,61,3,14.92,0
27.5,20,purchase,0,1728,2,11.83,0
73.45,20,transfer,0,3487,4,16.33,0
42.55,6,withdrawal,0,2938,3,20.68,0
45.4,16,purchase,0,2256,2,0.2,0
54.63,8,withdrawal,0,514,0,9.88,0
97.21,22,purchase,0,2412,3,14.82,0
11.59,8,online,1,1384,3,2.68,0
185.68,11,online,0,1139,2,34.43,0
24.17,7,online,0,2378,1,22.15,0
24.28,9,transfer,0,2438,3,7.18,0
22.66,19,purchase,0,365,3,30.34,0
88.78,11,online,0,2587,3,83.15,0
10.56,12,withdrawal,0,2698,3,3.31,0
49.84,19,withdrawal,0,2266,3,19.89,0
8.54,16,purchase,0,2675,3,13.38,0
132.21,6,purchase,0,545,2,24.83,0
107.99,21,transfer,0,3619,0,37.19,0
62.79,10,withdrawal,0,698,1,10.13,0
119.81,8,purchase,0,616,2,3.01,0
78.91,17,purchase,0,494,4,10.45,0
49.69,16,purchase,0,2069,3,16.43,0
123.73,18,purchase,0,2828,3,2.68,0
114.55,13,withdrawal,0,3083,1,13.9,0
80.23,14,purchase,0,1841,0,14.05,0
46.4,13,purchase,0,2770,0,12.8,0
177.8,9,purchase,0,3372,0,6.35,0
76.78,19,purchase,0,422,3,2.08,0
89.43,10,purchase,0,3547,2,11.98,0
18.97,10,purchase,0,91,2,28.29,0
85.0,7,purchase,0,409,4,46.4,0
77.24,16,transfer,0,421,3,8.36,0
82.38,12,purchase,0,3441,1,8.61,0
35.43,19,transfer,0,2805,4,14.27,0
180.85,14,transfer,0,3176,2,5.77,0
109.38,15,withdrawal,0,2533,3,5.69,0
56.77,13,transfer,0,1442,3,21.78,0
52.21,12,purchase,0,324,6,25.47,0
110.86,19,purchase,0,236,0,36.61,0
38.03,18,purchase,0,899,1,8.38,0
99.36,21,purchase,0,757,1,5.52,0
201.26,13,purchase,0,441,0,4.75,0
86.17,14,online,0,1206,1,4.1,0
77.01,21,online,0,1147,3,1.26,0
116.49,13,transfer,0,2560,1,20.16,0
33.53,21,purchase,0,2122,1,19.5,0
41.24,10,transfer,0,3270,2,6.17,0
34.48,10,purchase,0,1285,1,0.14,0
63.46,15,transfer,0,1443,2,2.43,0
28.98,17,purchase,0,1818,0,47.68,0
17.72,21,withdrawal,0,3188,3,16.85,0
43.38,21,purchase,0,2662,4,8.9,0
45.12,8,purchase,0,1840,2,22.66,0
19.32,14,purchase,0,2461,1,19.97,0
28.18,8,purchase,0,866,0,0.85,0
86.22,13,online,0,2051,1,1.75,0
123.81,14,withdrawal,0,3257,1,19.09,0
110.56,6,purchase,0,2202,3,17.23,0
93.96,16,purchase,0,1249,1,12.67,0
94.58,20,withdrawal,0,1547,4,9.74,0
129.64,16,purchase,0,1642,0,15.27,0
61.44,14,online,0,712,0,13.96,0
15.09,15,purchase,0,1022,0,8.95,0
103.56,12,purchase,0,2100,1,20.78,0
120.91,20,online,0,2486,0,6.48,0
51.81,11,withdrawal,1,769,1,2.55,0
247.01,18,withdrawal,0,1563,5,9.21,0
88.96,15,withdrawal,0,284,2,3.44,0
124.93,12,withdrawal,0,975,2,5.61,0
22.76,6,purchase,0,3255,3,32.52,0
77.36,20,purchase,0,548,1,10.7,0
81.25,12,purchase,0,3287,2,21.96,0
111.63,14,purchase,0,1882,2,16.63,0
19.0,14,purchase,0,2360,3,29.78,0
23.84,18,purchase,0,1523,1,4.59,0
82.63,12,withdrawal,0,2097,1,5.78,0
66.63,9,withdrawal,0,1639,1,34.51,0
37.84,8,transfer,0,3418,2,0.58,0
77.18,21,purchase,0,1116,1,11.93,0
47.61,14,purchase,0,1943,1,26.62,0
12.73,8,transfer,0,2303,4,1.71,0
11.6,21,transfer,0,363,1,28.23,0
575.52,17,purchase,0,44,8,150.15,1
16.8,13,transfer,0,2904,1,16.48,0
104.98,22,online,0,1304,3,3.28,0
54.15,6,purchase,0,1485,4,9.18,0
186.24,22,transfer,0,335,0,16.0,0
100.97,18,online,0,3023,0,35.07,0
30.25,17,purchase,0,1112,1,32.07,0
33.78,10,withdrawal,0,994,1,1.37,0
52.9,6,withdrawal,0,2749,2,10.47,0
581.88,10,online,0,17,4,89.22,1
94.06,8,purchase,0,1384,2,9.02,0
27.45,21,transfer,0,175,1,5.2,0
56.19,21,online,0,1709,2,6.06,0
188.29,15,purchase,0,1311,1,1.17,0
17.89,12,withdrawal,0,2997,2,10.91,0
9.76,6,purchase,0,2348,3,17.39,0
136.9,21,transfer,0,3273,0,23.39,0
53.76,16,online,0,1146,1,16.95,0
77.32,20,online,0,2152,2,5.32,0
13.44,18,transfer,0,1320,0,8.66,0
32.97,9,purchase,0,1756,2,27.05,0
79.67,7,purchase,0,632,3,12.13,0
84.98,17,online,0,1687,2,0.61,0
118.55,10,withdrawal,0,1395,3,7.33,0
103.75,17,transfer,0,151,2,18.44,0
84.63,21,transfer,0,2664,3,6.8,0
47.84,19,purchase,0,2473,0,4.35,0
114.83,17,purchase,0,1758,1,1.74,0
120.47,8,online,1,1996,1,53.7,0
32.98,20,online,0,36,2,3.27,0
42.48,7,purchase,0,2650,2,25.36,0
63.88,11,purchase,0,1683,6,10.94,0
281.1,22,withdrawal,1,357,8,102.85,1
303.16,8,purchase,0,592,1,0.71,0
31.33,11,purchase,0,1466,8,11.61,0
86.27,6,purchase,0,1412,0,0.77,0
120.81,12,purchase,0,2034,1,9.55,0
295.33,2,transfer,0,114,5,320.28,1
229.74,8,online,0,3174,4,8.94,0
1030.97,5,transfer,1,191,9,159.82,1
113.23,13,online,0,1945,3,0.03,0
33.82,19,online,0,2453,2,49.74,0
66.45,9,online,0,3591,1,39.91,0
70.57,18,online,0,1529,6,0.55,0
55.97,20,withdrawal,0,2254,0,0.03,0
8.45,7,withdrawal,0,823,3,10.11,0
202.13,1,purchase,1,7,6,222.7,1
215.22,7,purchase,0,3460,5,7.48,0
38.39,8,purchase,0,2443,2,42.03,0
60.03,18,purchase,0,1902,0,52.05,0
14.93,18,transfer,1,3142,3,5.11,0
266.94,7,purchase,0,333,1,8.56,0
80.28,14,online,0,1985,2,2.4,0
53.81,13,purchase,0,2165,3,27.95,0
79.82,17,purchase,0,1572,3,4.88,0
62.14,8,withdrawal,0,1143,1,4.28,0
123.95,18,purchase,0,1482,1,3.53,0
50.04,9,withdrawal,0,1339,1,32.15,0
79.26,10,transfer,0,305,3,8.85,0
26.98,15,purchase,0,3476,1,30.63,0
100.09,11,transfer,0,268,4,2.28,0
62.37,21,purchase,0,3086,0,19.62,0
3.26,18,withdrawal,0,1942,2,62.72,0
132.44,10,purchase,1,1942,1,7.13,0
65.89,9,purchase,0,3151,1,36.34,0
130.91,9,purchase,0,2495,1,0.45,0
29.12,20,withdrawal,0,2123,2,10.1,0
47.77,7,withdrawal,0,3188,3,2.17,0
116.33,14,purchase,0,1515,0,7.13,0
35.75,9,purchase,0,2121,0,13.29,0
33.78,8,purchase,0,2315,1,7.33,0
141.94,15,purchase,0,3471,3,51.29,0
25.86,8,transfer,0,1305,1,21.55,0
142.91,10,purchase,0,1726,1,4.47,0
34.52,16,online,0,3427,1,32.73,0
39.81,15,transfer,0,653,1,5.06,0
52.07,6,purchase,0,218,3,5.08,0
34.11,8,withdrawal,0,671,1,8.37,0
145.81,22,transfer,0,141,2,19.13,0
296.18,11,purchase,0,2242,2,2.35,0
42.1,6,online,0,1841,0,0.66,0
71.4,19,purchase,0,2069,4,20.32,0
166.54,8,purchase,0,2947,2,0.04,0
129.63,19,purchase,0,1263,0,67.87,0
102.03,9,purchase,0,1791,4,5.86,0
545.9,16,purchase,1,188,6,116.27,1
17.59,20,purchase,0,1507,0,10.29,0
63.12,17,purchase,1,2230,3,102.92,0
25.61,12,purchase,0,3256,1,10.75,0
120.59,21,online,0,956,2,10.55,0
